Price,District,Ward,Time,Area
2.5 triệu/tháng, Quận Hoàng Mai, Phường Lĩnh Nam,4/3/2020, 20m2
2.7 triệu/tháng, Quận Hoàng Mai, Phường Lĩnh Nam,4/3/2020, 30m2
2.2 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Văn Thụ,3/3/2020, 18m2
4 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,29/02/2020, 45m2
1 triệu/tháng, Quận Bắc Từ Liêm, Phường Phú Diễn,29/02/2020, 17m2
2.5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,29/02/2020, 30m2
2 triệu/tháng, Quận Cầu Giấy, Phường Nghĩa Tân,28/02/2020, 20m2
4.5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mỹ Đình 2,28/02/2020, 39m2
1.6 triệu/tháng, Huyện Thanh Trì, Xã Ngọc Hồi,27/02/2020, 25m2
2 triệu/tháng, Quận Hà Đông, Phường Phú La,27/02/2020, 20m2
5.5 triệu/tháng, Quận Ba Đình, Phường Ngọc Khánh,27/02/2020, 25m2
3.2 triệu/tháng, Quận Bắc Từ Liêm, Phường Xuân Đỉnh,27/02/2020, 30m2
1.2 triệu/tháng, Huyện Đông Anh,Địa chỉ: Xã Vĩnh Ngọc,26/02/2020, 25m2
5.5 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,26/02/2020, 40m2
2.5 triệu/tháng, Quận Thanh Xuân, Phường Thượng Đình,26/02/2020, 18m2
1 triệu/tháng, Quận Hoàng Mai, Phường Trần Phú,26/02/2020, 14m2
1.3 triệu/tháng, Quận Đống Đa, Phường Khâm Thiên,26/02/2020, 9m2
4 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,26/02/2020, 40m2
2.6 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,25/02/2020, 25m2
4.2 triệu/tháng, Quận Hà Đông, Phường Mỗ Lao,25/02/2020, 40m2
4 triệu/tháng, Quận Tây Hồ, Phường Tứ Liên,24/02/2020, 25m2
2.5 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,24/02/2020, 30m2
3.5 triệu/tháng, Quận Thanh Xuân, Phường Phương Liệt,24/02/2020, 20m2
2.2 triệu/tháng, Quận Hai Bà Trưng, Phường Thanh Lương,24/02/2020, 20m2
4.3 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,23/02/2020, 40m2
3.9 triệu/tháng, Quận Hà Đông, Phường La Khê,23/02/2020, 30m2
2.5 triệu/tháng, Quận Hai Bà Trưng, Phường Thanh Lương,23/02/2020, 20m2
2.3 triệu/tháng, Quận Hoàng Mai, Phường Định Công,22/02/2020, 25m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Thịnh Liệt,22/02/2020, 20m2
2.7 triệu/tháng, Quận Bắc Từ Liêm,Địa chỉ: Đường Hoàng Công Chất,22/02/2020, 20m2
4.6 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,22/02/2020, 30m2
3.5 triệu/tháng, Quận Đống Đa, Phường Láng Hạ,22/02/2020, 33m2
2.5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Tây Mỗ,22/02/2020, 35m2
3 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng Hậu,21/02/2020, 20m2
3.3 triệu/tháng, Quận Cầu Giấy, Phường Mai Dịch,21/02/2020, 25m2
6.5 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,21/02/2020, 35m2
4 triệu/tháng, Quận Hoàng Mai, Phường Lĩnh Nam,20/02/2020, 30m2
4.8 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,20/02/2020, 45m2
3.6 triệu/tháng, Quận Nam Từ Liêm, Phường Trung Văn,20/02/2020, 35m2
1.3 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,20/02/2020, 20m2
1.5 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,19/02/2020, 120m2
2.5 triệu/tháng, Quận Cầu Giấy, Phường Nghĩa Đô,19/02/2020, 17m2
2.7 triệu/tháng, Quận Đống Đa, Phường Phương Mai,19/02/2020, 20m2
2 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Văn Thụ,19/02/2020, 20m2
5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,19/02/2020, 28m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,19/02/2020, 20m2
1.7 triệu/tháng, Quận Đống Đa, Phường Trung Tự,18/02/2020, 20m2
5.5 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,18/02/2020, 50m2
4 triệu/tháng, Quận Đống Đa,Địa chỉ: Ngõ Yên Thế Đường Nguyễn Thái Học,18/02/2020, 40m2
3.1 triệu/tháng, Quận Ba Đình, Phường Liễu Giai,17/02/2020, 20m2
2.2 triệu/tháng, Quận Hoàng Mai, Phường Trần Phú,16/02/2020, 35m2
2.7 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,14/02/2020, 22m2
3 triệu/tháng, Quận Hà Đông, Phường Văn Quán,14/02/2020, 68m2
3.2 triệu/tháng, Quận Tây Hồ, Phường Bưởi,13/02/2020, 26m2
2.7 triệu/tháng, Quận Long Biên, Phường Bồ Đề,13/02/2020, 28m2
2.2 triệu/tháng, Quận Hoàng Mai, Phường Định Công,13/02/2020, 26m2
2.5 triệu/tháng, Quận Long Biên, Phường Bồ Đề,13/02/2020, 26m2
3 triệu/tháng, Quận Hoàn Kiếm, Phường Phúc Tân,13/02/2020, 25m2
3.2 triệu/tháng, Quận Hoàn Kiếm, Phường Phúc Tân,13/02/2020, 23m2
2.7 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,13/02/2020, 20m2
1.35 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,13/02/2020, 100m2
5 triệu/tháng, Quận Ba Đình, Phường Trúc Bạch,13/02/2020, 30m2
1.6 triệu/tháng, Quận Thanh Xuân, Phường Thượng Đình,12/2/2020, 16m2
1.5 triệu/tháng, Quận Hoàng Mai, Phường Yên Sở,12/2/2020, 15m2
1.5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mỹ Đình 1,12/2/2020, 25m2
2 triệu/tháng, Quận Tây Hồ, Phường Xuân La,12/2/2020, 22m2
2.5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mễ Trì,11/2/2020, 28m2
5 triệu/tháng, Quận Hoàng Mai, Phường Giáp Bát,11/2/2020, 40m2
2.6 triệu/tháng, Quận Bắc Từ Liêm, Phường Phúc Diễn,11/2/2020, 25m2
1.6 triệu/tháng, Quận Thanh Xuân, Phường Nhân Chính,11/2/2020, 30m2
3 triệu/tháng, Quận Bắc Từ Liêm, Phường Cổ Nhuế 2,9/2/2020, 47m2
2 triệu/tháng, Quận Thanh Xuân, Phường Hạ Đình,9/2/2020, 15m2
2.5 triệu/tháng, Quận Bắc Từ Liêm, Phường Xuân Đỉnh,9/2/2020, 20m2
2.8 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mỹ Đình 2,9/2/2020, 25m2
2 triệu/tháng, Quận Đống Đa, Phường Kim Liên,8/2/2020, 20m2
1.5 triệu/tháng, Quận Đống Đa, Phường Hàng Bột,8/2/2020, 30m2
2.5 triệu/tháng, Quận Đống Đa, Phường Khương Thượng,5/2/2020, 22m2
1.5 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,4/2/2020, 120m2
3.5 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Trung Văn,3/2/2020, 25m2
1.7 triệu/tháng, Quận Hoàng Mai, Phường Định Công,3/2/2020, 14m2
2 triệu/tháng, Quận Ba Đình, Phường Đội Cấn,3/2/2020, 17m2
2.4 triệu/tháng, Quận Bắc Từ Liêm, Phường Cổ Nhuế 2,3/2/2020, 25m2
4 triệu/tháng, Quận Hai Bà Trưng, Phường Đồng Tâm,2/2/2020, 35m2
2 triệu/tháng, Quận Hoàng Mai, Phường Mai Động,1/2/2020, 18m2
4.5 triệu/tháng, Quận Nam Từ Liêm, Phường Mỹ Đình 2,1/2/2020, 25m2
2.2 triệu/tháng, Quận Ba Đình, Phường Ngọc Hà,1/2/2020, 20m2
1.6 triệu/tháng, Quận Hoàng Mai, Phường Mai Động,31/01/2020, 25m2
Thỏa thuận, Quận Cầu Giấy, Phường Mai Dịch,31/01/2020, 15m2
3 triệu/tháng, Quận Hoàng Mai, Phường Thanh Trì,30/01/2020, 30m2
1.3 triệu/tháng, Quận Bắc Từ Liêm, Phường Cổ Nhuế 2,30/01/2020, 20m2
10 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,30/01/2020, 45m2
3.7 triệu/tháng, Quận Nam Từ Liêm, Phường Mễ Trì,29/01/2020, 27m2
2.5 triệu/tháng, Quận Hai Bà Trưng, Phường Nguyễn Du,29/01/2020, 18m2
1.6 triệu/tháng, Quận Long Biên, Phường Giang Biên,28/01/2020, 40m2
1.3 triệu/tháng, Quận Ba Đình, Phường Vĩnh Phúc,28/01/2020, 24m2
2.4 triệu/tháng, Quận Đống Đa, Phường Hàng Bột,18/01/2020, 18m2
2.7 triệu/tháng, Quận Hai Bà Trưng, Phường Thanh Nhàn,18/01/2020, 20m2
3.5 triệu/tháng, Quận Tây Hồ, Phường Tứ Liên,17/01/2020, 23m2
2.4 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,6/1/2020, 22m2
2 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,6/1/2020, 25m2
2.5 triệu/tháng, Quận Hà Đông, Phường Văn Quán,6/1/2020, 25m2
2 triệu/tháng, Quận Hai Bà Trưng, Phường Bạch Mai,5/1/2020, 15m2
2.7 triệu/tháng, Quận Hà Đông, Phường Quang Trung,5/1/2020, 20m2
800.000 đồng/tháng, Quận Bắc Từ Liêm, Phường Cổ Nhuế 1,5/1/2020, 26m2
3 triệu/tháng, Quận Hai Bà Trưng, Phường Vĩnh Tuy,5/1/2020, 25m2
1 triệu/tháng, Quận Thanh Xuân,Địa chỉ: Dọc đường kim giang Đường Kim Giang,5/1/2020, 10m2
1.8 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,5/1/2020, 22m2
2.2 triệu/tháng, Quận Hà Đông, Phường Phú La,4/1/2020, 22m2
3.4 triệu/tháng, Quận Đống Đa, Phường Trung Liệt,4/1/2020, 30m2
1.7 triệu/tháng, Huyện Gia Lâm, Thị trấn Trâu Quỳ,4/1/2020, 17m2
3 triệu/tháng, Quận Cầu Giấy, Phường Nghĩa Đô,3/1/2020, 20m2
3.5 triệu/tháng, Quận Hoàng Mai, Phường Định Công,3/1/2020, 25m2
3 triệu/tháng, Quận Bắc Từ Liêm, Phường Cổ Nhuế 1,3/1/2020, 30m2
3 triệu/tháng, Quận Hoàn Kiếm, Phường Trần Hưng Đạo,3/1/2020, 12m2
4.2 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,3/1/2020, 50m2
3.3 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,3/1/2020, 30m2
1.5 triệu/tháng, Huyện Thanh Trì,Địa chỉ: Xã Ngọc Hồi,3/1/2020, 25m2
1.3 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng Hậu,2/1/2020, 25m2
1.7 triệu/tháng, Quận Cầu Giấy, Phường Nghĩa Đô,2/1/2020, 20m2
500.000 đồng/tháng, Quận Bắc Từ Liêm, Phường Thụy Phương,30/12/2019, 13m2
1.9 triệu/tháng, Quận Hà Đông, Phường Văn Quán,30/12/2019, 15m2
4.5 triệu/tháng, Quận Hà Đông, Phường Mỗ Lao,30/12/2019, 62m2
2 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,29/12/2019, 15m2
25 triệu/tháng, Quận Hai Bà Trưng, Phường Quỳnh Lôi,28/12/2019, 20m2
2 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,21/12/2019, 22m2
2.8 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,21/12/2019, 20m2
2.9 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,21/12/2019, 21m2
1.5 triệu/tháng, Quận Hoàng Mai, Phường Tương Mai,21/12/2019, 48m2
1.35 triệu/tháng, Quận Hoàng Mai,Địa chỉ: Đường Nguyễn Hữu Thọ,20/12/2019, 15m2
1.5 triệu/tháng, Quận Hoàng Mai, Phường Tân Mai,19/12/2019, 15m2
1.5 triệu/tháng, Quận Tây Hồ, Phường Thụy Khuê,19/12/2019, 60m2
1.5 triệu/tháng, Quận Thanh Xuân, Phường Thanh Xuân Bắc,19/12/2019, 8m2
2.5 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,19/12/2019, 25m2
3.6 triệu/tháng, Quận Hai Bà Trưng, Phường Bách Khoa,17/12/2019, 20m2
5 triệu/tháng, Quận Cầu Giấy, Phường Mai Dịch,17/12/2019, 50m2
6 triệu/tháng, Quận Thanh Xuân, Phường Khương Đình,17/12/2019, 48m2
2.2 triệu/tháng, Quận Hà Đông, Phường Hà Cầu,17/12/2019, 20m2
3 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Văn Thụ,16/12/2019, 30m2
2.5 triệu/tháng, Quận Hà Đông, Phường Phúc La,16/12/2019, 27m2
3 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,15/12/2019, 33m2
2.5 triệu/tháng, Quận Long Biên,Địa chỉ: Đường Ô Cách,14/12/2019, 27m2
2 triệu/tháng, Quận Đống Đa, Phường Láng Hạ,13/12/2019, 17m2
3.3 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,11/12/2019, 27m2
7.5 triệu/tháng, Quận Hai Bà Trưng, Phường Bách Khoa,10/12/2019, 100m2
2.3 triệu/tháng, Quận Hai Bà Trưng, Phường Thanh Lương,1/11/2019, 24m2
2.8 triệu/tháng, Quận Ba Đình, Phường Kim Mã,1/11/2019, 22m2
2.4 triệu/tháng, Quận Hoàng Mai, Phường Tân Mai,31/10/2019, 12m2
2 triệu/tháng, Quận Hai Bà Trưng, Phường Trương Định,30/10/2019, 20m2
3 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,30/10/2019, 25m2
2.5 triệu/tháng, Quận Hà Đông, Phường Văn Quán,30/10/2019, 30m2
2 triệu/tháng, Quận Hà Đông, Phường Văn Quán,29/10/2019, 14m2
4 triệu/tháng, Quận Ba Đình, Phường Liễu Giai,28/10/2019, 28m2
4 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,27/10/2019, 30m2
3 triệu/tháng, Quận Thanh Xuân, Phường Thanh Xuân Nam,21/10/2019, 29m2
1.5 triệu/tháng, Quận Thanh Xuân, Phường Khương Đình,17/10/2019, 12m2
1 triệu/tháng, Quận Hai Bà Trưng, Phường Minh Khai,16/10/2019, 30m2
2.45 triệu/tháng, Quận Ba Đình, Phường Đội Cấn,16/10/2019, 17m2
1.7 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng Hậu,16/10/2019, 30m2
1.7 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng Hậu,16/10/2019, 33m2
1.6 triệu/tháng, Quận Thanh Xuân, Phường Khương Mai,15/10/2019, 35m2
2 triệu/tháng, Huyện Gia Lâm,Địa chỉ: Xã Đông Dư,14/10/2019, 30m2
1.2 triệu/tháng, Quận Hai Bà Trưng, Phường Bạch Đằng,12/10/2019, 16m2
3.3 triệu/tháng, Quận Ba Đình, Phường Trúc Bạch,12/10/2019, 35m2
3 triệu/tháng, Quận Long Biên,Địa chỉ: Phường Ngọc Lâm,12/10/2019, 50m2
2 triệu/tháng, Quận Cầu Giấy, Phường Nghĩa Tân,12/10/2019, 20m2
1.4 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,8/10/2019, 60m2
4.5 triệu/tháng, Quận Đống Đa, Phường Cát Linh,8/10/2019, 20m2
3 triệu/tháng, Quận Thanh Xuân, Phường Khương Đình,8/10/2019, 30m2
2.5 triệu/tháng, Quận Bắc Từ Liêm, Phường Thụy Phương,8/10/2019, 25m2
2.5 triệu/tháng, Quận Hà Đông, Phường Phúc La,7/10/2019, 40m2
2.7 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,7/10/2019, 20m2
2.4 triệu/tháng, Quận Hoàng Mai, Phường Định Công,3/10/2019, 18m2
3.2 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,2/10/2019, 32m2
5.5 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng Hậu,1/10/2019, 50m2
1.8 triệu/tháng, Quận Hà Đông, Phường Văn Quán,1/10/2019, 15.5m2
3 triệu/tháng, Quận Hoàng Mai, Phường Tân Mai,1/10/2019, 18m2
1.7 triệu/tháng, Quận Hai Bà Trưng, Phường Quỳnh Mai,1/10/2019, 20m2
6 triệu/tháng, Quận Hoàn Kiếm, Phường Trần Hưng Đạo,30/09/2019, 30m2
4.8 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,30/09/2019, 20m2
2.3 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,19/09/2019, 18m2
1.6 triệu/tháng, Quận Thanh Xuân, Phường Nhân Chính,18/09/2019, 130m2
3 triệu/tháng, Quận Thanh Xuân, Phường Thanh Xuân Nam,17/09/2019, 18m2
Thỏa thuận, Quận Ba Đình, Phường Cống Vị,3/9/2019, 15m2
3 triệu/tháng, Quận Hai Bà Trưng, Phường Quỳnh Lôi,2/9/2019, 18m2
1.9 triệu/tháng, Quận Hà Đông, Phường Kiến Hưng,1/9/2019, 14m2
4 triệu/tháng, Quận Ba Đình, Phường Liễu Giai,29/08/2019, 28m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Yên Sở,28/08/2019, 50m2
3 triệu/tháng, Quận Thanh Xuân,Địa chỉ: Đường Lê Văn Lương,28/08/2019, 20m2
3 triệu/tháng, Quận Tây Hồ, Phường Yên Phụ,27/08/2019, 15m2
3 triệu/tháng, Quận Hai Bà Trưng, Phường Bách Khoa,27/08/2019, 36m2
1.8 triệu/tháng, Quận Đống Đa, Phường Khương Thượng,27/08/2019, 25m2
1.3 triệu/tháng, Quận Long Biên, Phường Việt Hưng,27/08/2019, 15m2
1.5 triệu/tháng, Quận Long Biên, Phường Đức Giang,26/08/2019, 30m2
1.5 triệu/tháng, Quận Hà Đông, Phường Văn Quán,25/08/2019, 11m2
2 triệu/tháng, Quận Hà Đông, Phường Văn Quán,25/08/2019, 15m2
500.000 đồng/tháng, Quận Hà Đông, Phường Vạn Phúc,22/08/2019, 44m2
1.5 triệu/tháng, Quận Hai Bà Trưng, Phường Trương Định,21/08/2019, 25m2
3 triệu/tháng, Quận Cầu Giấy, Phường Mai Dịch,19/08/2019, 25m2
3.2 triệu/tháng, Huyện Bắc Từ Liêm,Địa chỉ: phường Đông Ngạc,6/8/2019, 40m2
2.3 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,5/8/2019, 20m2
1.8 triệu/tháng, Quận Cầu Giấy, Phường Mai Dịch,5/8/2019, 15m2
4.9 triệu/tháng, Quận Thanh Xuân, Phường Phương Liệt,4/8/2019, 51m2
1.2 triệu/tháng, Quận Tây Hồ, Phường Phú Thượng,18/07/2019, 20m2
1.8 triệu/tháng, TDP Phú Minh, Ngõ Việt Hà 18B,17/07/2019, 15m2
2.3 triệu/tháng, Quận Đống Đa, Phường Trung Phụng,6/7/2019, 20m2
1.3 triệu/tháng, Huyện Đông Anh, Xã Kim Chung,5/7/2019, 30m2
1 triệu/tháng, Huyện Gia Lâm, Xã Đình Xuyên,3/7/2019, 18m2
1.5 triệu/tháng, Quận Đống Đa, Phường Thổ Quan,3/7/2019, 16m2
2.8 triệu/tháng, Quận Hoàng Mai, Phường Định Công,3/7/2019, 18m2
1.4 triệu/tháng, Quận Thanh Xuân, Phường Phương Liệt,3/7/2019, 30m2
3.2 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,24/06/2019, 20m2
1.7 triệu/tháng, Kim Chung,Địa chỉ: ngõ 19 Hậu Dưỡng,22/06/2019, 30m2
2 triệu/tháng, Quận Thanh Xuân, Phường Khương Trung,21/06/2019, 15m2
2.5 triệu/tháng, Quận Cầu Giấy, Phường Nghĩa Đô,21/06/2019, 26m2
2 triệu/tháng, Quận Hai Bà Trưng, Phường Lê Đại Hành,10/6/2019, 20m2
3 triệu/tháng, Quận Hà Đông, Phường Dương Nội,10/6/2019, 40m2
2.5 triệu/tháng, Quận Tây Hồ, Phường Xuân La,9/6/2019, 18m2
2.7 triệu/tháng, Quận Đống Đa, Phường Cát Linh,7/6/2019, 27m2
2.7 triệu/tháng, Quận Tây Hồ, Phường Yên Phụ,7/6/2019, 25m2
3.5 triệu/tháng, Quận Đống Đa, Phường Quang Trung,4/6/2019, 33m2
3 triệu/tháng, Quận Thanh Xuân, Phường Nhân Chính,31/05/2019, 30m2
3.3 triệu/tháng, Thanh Xuân, Khương Đình,31/05/2019, 25m2
1.5 triệu/tháng, Quận Hoàng Mai, Phường Vĩnh Hưng,29/05/2019, 10m2
2.5 triệu/tháng, Huyện Từ Liêm,Địa chỉ: Số nhà 38 ngõ 112 Mễ Trì Thượng,27/05/2019, 22m2
4.5 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,8/5/2019, 26m2
2.2 triệu/tháng, Quận Thanh Xuân, Phường Khương Đình,16/04/2019, 25m2
1.9 triệu/tháng, Quận Hoàng Mai, Phường Vĩnh Hưng,15/04/2019, 27m2
2.5 triệu/tháng, Quận Hai Bà Trưng,Địa chỉ: Số 18 Ngõ 317/13 ngõ Quỳnh,14/04/2019, 20m2
3 triệu/tháng, Quận Đống Đa, Phường Thịnh Quang,12/4/2019, 28m2
1.5 triệu/tháng, Quận Thanh Xuân, Phường Khương Đình,12/4/2019, 12m2
2.3 triệu/tháng, Quận Hai Bà Trưng, Phường Thanh Nhàn,12/4/2019, 18m2
2.7 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Văn Thụ,12/4/2019, 22m2
3.5 triệu/tháng, Quận Đống Đa, Phường Khương Thượng,11/4/2019, 35m2
2.4 triệu/tháng, Quận Hai Bà Trưng, Phường Thanh Lương,29/03/2019, 22m2
3.2 triệu/tháng, Lê Quang Đạo,Địa chỉ: 54,16/03/2019, 30m2
1.6 triệu/tháng, Huyện Từ Liêm, Phường Phú Diễn,15/03/2019, 15m2
1.2 triệu/tháng, Quận Thanh Xuân, Phường Khương Đình,15/03/2019, 12m2
2.2 triệu/tháng, Quận Đống Đa, Phường Khâm Thiên,15/03/2019, 20m2
2.6 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,14/03/2019, 18m2
900.000 đồng/tháng, Quận Hoàng Mai, Phường Định Công,14/03/2019, 12m2
2.5 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,13/03/2019, 30m2
3 triệu/tháng, Quận Cầu Giấy, Phường Mai Dịch,12/3/2019, 25m2
3 triệu/tháng, Quận Thanh Xuân, Phường Khương Mai,12/3/2019, 16m2
1.3 triệu/tháng, Huyện Sóc Sơn, Xã Minh Phú,11/3/2019, 35m2
2.7 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,10/3/2019, 23m2
2.8 triệu/tháng, Quận Đống Đa, Phường Trung Liệt,9/3/2019, 22m2
4.5 triệu/tháng, Quận Hà Đông,Địa chỉ: Đường Kiến Hưng,5/3/2019, 90m2
3.5 triệu/tháng, Quận Đống Đa, Phường Trung Liệt,5/3/2019, 28m2
1.2 triệu/tháng, Quận Thanh Xuân, Phường Khương Đình,4/3/2019, 12m2
1 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Văn Thụ,3/3/2019, 13m2
2.5 triệu/tháng, Quận Hai Bà Trưng, Phường Cầu Dền,1/3/2019, 15m2
21 triệu/tháng, Huyện Gia Lâm, Xã Đa Tốn,1/3/2019, 140m2
2.7 triệu/tháng, Quận Hai Bà Trưng, Phường Minh Khai,1/3/2019, 27m2
2 triệu/tháng, Quận Hà Đông, Phường Vạn Phúc,1/3/2019, 20m2
3.5 triệu/tháng, Quận Hoàn Kiếm, Phường Cửa Nam,1/3/2019, 22m2
3 triệu/tháng, Quận Đống Đa, Phường Trung Liệt,1/3/2019, 22m2
1.6 triệu/tháng, Quận Cầu Giấy, Phường Mai Dịch,1/3/2019, 16m2
2 triệu/tháng, Huyện Bắc Từ Liêm, Tây Tựu,20/02/2019, 35m2
2.5 triệu/tháng, Quận Cầu Giấy, Phường Dịch Vọng,20/02/2019, 25m2
2.6 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,16/02/2019, 23m2
